index,nctid,MTI_condition,DUI,TUI,condition_id
0,NCT00571389,Neoplasms,D009369,T027926,condition_1
1,NCT00571389,Blood Donors,D001782,T005183,condition_2
2,NCT00571389,COVID-19,D000086382,T001007884,condition_3
3,NCT01306084,Herpes Genitalis,D006558,T019752,condition_4
4,NCT01306084,COVID-19,D000086382,T001007884,condition_3
5,NCT01306084,Herpes Labialis,D006560,T019757,condition_5
6,NCT02081326,"Diabetes Mellitus, Type 2",D003924,T011751,condition_6
8,NCT02081326,"Diabetes Mellitus, Type 1",D003922,T011740,condition_7
9,NCT02081326,COVID-19,D000086382,T001007884,condition_3
10,NCT02344290,HIV Infections,D015658,T046323,condition_8
11,NCT02344290,Cardiovascular Diseases,D002318,T006662,condition_9
12,NCT02735707,"Influenza, Human",D007251,T658127,condition_10
13,NCT02765191,Sepsis,D018805,T056029,condition_11
14,NCT02765191,Acute Kidney Injury,D058186,T761752,condition_12
15,NCT02765191,COVID-19,D000086382,T001007884,condition_3
16,NCT02788903,Obesity,D009765,T029022,condition_13
17,NCT02788903,"Diabetes Mellitus, Type 2",D003924,T011751,condition_6
18,NCT02788903,COVID-19,D000086382,T001007884,condition_3
19,NCT03042143,Respiratory Distress Syndrome,D012128,T001010711,condition_14
20,NCT03183570,Idiopathic Pulmonary Fibrosis,D054990,T703056,condition_15
21,NCT03183570,"Cholangitis, Sclerosing",D015209,T044471,condition_16
22,NCT03183570,COVID-19,D000086382,T001007884,condition_3
23,NCT03188796,Critical Illness,D016638,T049821,condition_17
24,NCT03188796,Vitamin D Deficiency,D014808,T043298,condition_18
25,NCT03188796,COVID-19,D000086382,T001007884,condition_3
26,NCT03226886,"Carcinoma, Renal Cell",D002292,T006596,condition_19
27,NCT03226886,Neoplasms,D009369,T027926,condition_1
28,NCT03226886,Healthy Volunteers,D064368,T837389,condition_20
29,NCT03256773,Cystic Fibrosis,D003550,T010315,condition_21
30,NCT03256773,"Pulmonary Disease, Chronic Obstructive",D029424,T024361,condition_22
31,NCT03256773,Kartagener Syndrome,D007619,T443993,condition_23
32,NCT03256773,COVID-19,D000086382,T001007884,condition_3
33,NCT03256773,Sinusitis,D012852,T037896,condition_24
34,NCT03262051,Inflammation,D007249,T021731,condition_25
35,NCT03305341,COVID-19,D000086382,T001007884,condition_3
36,NCT03331445,Respiratory Tract Infections,D012141,T036165,condition_26
37,NCT03331445,COVID-19,D000086382,T001007884,condition_3
38,NCT03348670,COVID-19,D000086382,T001007884,condition_3
39,NCT03376854,Respiratory Distress Syndrome,D012128,T001010711,condition_14
40,NCT03376854,COVID-19,D000086382,T001007884,condition_3
41,NCT03452774,Lung Neoplasms,D008175,T024371,condition_27
42,NCT03452774,Neoplasms,D009369,T027926,condition_1
43,NCT03452774,Pancreas,D010179,T030132,condition_28
44,NCT03452774,Liver,D008099,T024166,condition_29
45,NCT03452774,Stomach,D013270,T038994,condition_30
46,NCT03452774,Liver Neoplasms,D008113,T024213,condition_31
47,NCT03452774,Rectum,D012007,T035733,condition_32
48,NCT03452774,Kidney,D007668,T023037,condition_33
49,NCT03452774,Esophagus,D004947,T015102,condition_34
50,NCT03452774,Cervix Uteri,D002584,T007517,condition_35
51,NCT03452774,Colon,D003106,T009048,condition_36
52,NCT03452774,Larynx,D007830,T023391,condition_37
53,NCT03452774,Lung,D008168,T024344,condition_38
54,NCT03452774,Breast,D001940,T005532,condition_39
56,NCT03452774,Prostate,D011467,T033876,condition_40
57,NCT03452774,Neck,D009333,T027844,condition_41
58,NCT03452774,Skin,D012867,T037933,condition_42
59,NCT03452774,Neuroendocrine Tumors,D018358,T054763,condition_43
60,NCT03452774,Carcinoma,D002277,T006549,condition_44
61,NCT03452774,DNA Mismatch Repair,D053843,T671082,condition_45
62,NCT03452774,"Genes, BRCA2",D024522,T425873,condition_46
63,NCT03452774,"Lymphoma, Non-Hodgkin",D008228,T024518,condition_47
