,Unnamed: 0,nctid,CUI,standard_name,measure_type,measure_id,standard_measuer_id
0,4,NCT02081326,0,Bacillus Calmette-Guérin,Experimental,intervention_1,standard_inter_1
1,6,NCT02344290,C1101838,Pitavastatin,Experimental,intervention_7,standard_inter_3
2,48,NCT02765191,0,Plasma expansion with Ringer's Acetate,Experimental,intervention_49,standard_inter_32
3,53,NCT03042143,0,Human umbilical cord derived CD362 enriched MSCs,Experimental,intervention_54,standard_inter_35
4,55,NCT03183570,0,[18F]FP-R01-MG-F2,Experimental,intervention_56,standard_inter_36
5,56,NCT03183570,0,[18F]FP-R01-MG-F2,Experimental,intervention_57,standard_inter_36
6,57,NCT03183570,0,[18F]FP-R01-MG-F2,Experimental,intervention_58,standard_inter_36
7,59,NCT03188796,C0008318,Cholecalciferol,Experimental,intervention_60,standard_inter_37
8,68,NCT03305341,0,COVID-19 Therapeutic Biologics - Spike-GM-CSF Protein Lactated Ringer's Injection,Experimental,intervention_69,standard_inter_39
9,69,NCT03331445,0,Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Experimental,intervention_70,standard_inter_40
10,70,NCT03348670,0,COVID-19 Therapeutic Biologics - Spike-GM-CSF Protein Lactated Ringer's Injection,Experimental,intervention_71,standard_inter_39
11,71,NCT03376854,0,Hypothermia,Experimental,intervention_72,standard_inter_41
12,72,NCT03376854,C0027866,Neuromuscular Blocking Agents,Experimental,intervention_73,standard_inter_42
13,75,NCT03474965,C4524703,Crizanlizumab,Experimental,intervention_76,standard_inter_45
14,76,NCT03680274,0,Vitamin C,Experimental,intervention_77,standard_inter_21
15,80,NCT03808922,C2003387,DAS181,Experimental,intervention_81,standard_inter_48
16,82,NCT03808922,C2003387,DAS181,Experimental,intervention_83,standard_inter_48
17,83,NCT03808922,C2003387,DAS181,Experimental,intervention_84,standard_inter_48
18,84,NCT03808922,C2003387,DAS181,Experimental,intervention_85,standard_inter_48
19,87,NCT03852537,C0025815,Methylprednisolone,Experimental,intervention_88,standard_inter_50
20,88,NCT03871491,0,Azithromycin,Experimental,intervention_89,standard_inter_51
21,90,NCT03891420,0,Galidesivir,Experimental,intervention_91,standard_inter_52
22,92,NCT03907891,0,Motivational social support from nurse,Experimental,intervention_93,standard_inter_53
23,93,NCT03907891,0,Motivational social support from nurse with additional support from significant other,Experimental,intervention_94,standard_inter_54
24,95,NCT03944447,C0936079,Cannabis,Experimental,intervention_96,standard_inter_56
25,96,NCT03944447,C0936079,Cannabis,Experimental,intervention_97,standard_inter_56
26,97,NCT03944447,C0936079,Cannabis,Experimental,intervention_98,standard_inter_56
27,98,NCT03944447,C0936079,Cannabis,Experimental,intervention_99,standard_inter_56
28,100,NCT03963622,0,Respiratory Mechanics,Experimental,intervention_101,standard_inter_57
29,101,NCT04025580,0,Flucelvax,Experimental,intervention_102,standard_inter_58
30,102,NCT04025580,0,Fluvirin,Experimental,intervention_103,standard_inter_59
31,103,NCT04025580,0,Fluzone High Dose,Experimental,intervention_104,standard_inter_60
32,104,NCT04052607,0,LH Suppression,Experimental,intervention_105,standard_inter_61
33,105,NCT04052607,0,LH Suppression,Experimental,intervention_106,standard_inter_61
34,113,NCT04107402,0,"Assessment of coagulopathy, Platelets activation and Platelets-Neutrophils interplay",Experimental,intervention_114,standard_inter_64
35,115,NCT04107402,0,"Assessment of coagulopathy, Platelets activation and Platelets-Neutrophils interplay",Experimental,intervention_116,standard_inter_64
36,116,NCT04148430,C0245109,Anakinra,Experimental,intervention_117,standard_inter_18
37,117,NCT04148430,C0245109,Anakinra,Experimental,intervention_118,standard_inter_18
38,118,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_119,standard_inter_65
39,119,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_120,standard_inter_65
40,120,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_121,standard_inter_65
41,121,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_122,standard_inter_65
42,122,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_123,standard_inter_65
43,123,NCT04160975,0,Video about safety and effectiveness of adult seasonal flu vaccination,Experimental,intervention_124,standard_inter_65
44,128,NCT04240886,C5139854,fosmanogepix,Experimental,intervention_129,standard_inter_68
45,129,NCT04240886,C5139854,fosmanogepix,Experimental,intervention_130,standard_inter_68
46,131,NCT04244591,C0025815,methylprednisolone,Experimental,intervention_132,standard_inter_50
47,133,NCT04247620,0,DiaBetter Together,Experimental,intervention_134,standard_inter_70
48,136,NCT04251767,0,washed microbiota transplantation,Experimental,intervention_137,standard_inter_72
49,138,NCT04251871,C3853628,Granule,Experimental,intervention_139,standard_inter_73
50,140,NCT04252118,0,MSCs,Experimental,intervention_141,standard_inter_75
51,142,NCT04252274,C3177235,cobicistat,Experimental,intervention_143,standard_inter_76
52,144,NCT04252664,0,Remdesivir,Experimental,intervention_145,standard_inter_77
53,146,NCT04252885,C0674432,lopinavir,Experimental,intervention_147,standard_inter_78
54,149,NCT04254874,C1512523,hydrochloride,Experimental,intervention_150,standard_inter_80
55,150,NCT04254874,C1512523,hydrochloride,Experimental,intervention_151,standard_inter_80
56,152,NCT04255017,C1512523,hydrochloride,Experimental,intervention_153,standard_inter_80
57,153,NCT04255017,C0874161,Oseltamivir,Experimental,intervention_154,standard_inter_14
58,154,NCT04255017,0,Lopinavir/ritonavir,Experimental,intervention_155,standard_inter_15
59,158,NCT04257656,0,Remdesivir,Experimental,intervention_159,standard_inter_77
60,162,NCT04260594,C0254211,Arbidol,Experimental,intervention_163,standard_inter_79
61,163,NCT04260594,0,basic treatment,Experimental,intervention_164,standard_inter_81
62,165,NCT04261270,0,ASC09F+Oseltamivir,Experimental,intervention_166,standard_inter_82
63,166,NCT04261270,0,Ritonavir+Oseltamivir,Experimental,intervention_167,standard_inter_83
64,167,NCT04261270,C0874161,Oseltamivir,Experimental,intervention_168,standard_inter_14
65,168,NCT04261426,0,Intravenous Immunoglobulin,Experimental,intervention_169,standard_inter_84
66,169,NCT04261426,C2936643,Standard of Care,Experimental,intervention_170,standard_inter_43
