,Unnamed: 0,nctid,CUI,standard_name,measure_type,measure_id,standard_measuer_id
0,5,NCT02081326,0,Saline injection,Comparator,intervention_2,standard_inter_2
1,7,NCT02344290,C0032042,Placebo,Comparator,intervention_8,standard_inter_4
2,8,NCT02735707,C3714578,Fix,Comparator,intervention_9,standard_inter_5
3,10,NCT02735707,C0020268,hydrocortisone,Comparator,intervention_11,standard_inter_6
4,11,NCT02735707,C0007561,Ceftriaxone,Comparator,intervention_12,standard_inter_7
5,12,NCT02735707,C0282386,levofloxacin,Comparator,intervention_13,standard_inter_8
6,13,NCT02735707,0,Piperacillin-tazobactam,Comparator,intervention_14,standard_inter_9
7,14,NCT02735707,C2001521,Ceftaroline,Comparator,intervention_15,standard_inter_10
8,15,NCT02735707,0,Amoxicillin-clavulanate,Comparator,intervention_16,standard_inter_11
9,16,NCT02735707,0,Macrolide administered for 3-5 days,Comparator,intervention_17,standard_inter_12
10,17,NCT02735707,0,Macrolide administered for up to 14 days,Comparator,intervention_18,standard_inter_13
11,19,NCT02735707,C0874161,oseltamivir,Comparator,intervention_20,standard_inter_14
12,20,NCT02735707,C0874161,oseltamivir,Comparator,intervention_21,standard_inter_14
13,22,NCT02735707,0,Lopinavir/ritonavir,Comparator,intervention_23,standard_inter_15
14,23,NCT02735707,C0020336,Hydroxychloroquine,Comparator,intervention_24,standard_inter_16
15,24,NCT02735707,C0020336,hydroxychloroquine,Comparator,intervention_25,standard_inter_16
16,26,NCT02735707,0,Interferon-β1a,Comparator,intervention_27,standard_inter_17
17,27,NCT02735707,C0245109,Anakinra,Comparator,intervention_28,standard_inter_18
18,28,NCT02735707,C3714578,Fix,Comparator,intervention_29,standard_inter_5
19,29,NCT02735707,C1609165,Tocilizumab,Comparator,intervention_30,standard_inter_19
20,30,NCT02735707,C3885145,Sarilumab,Comparator,intervention_31,standard_inter_20
21,32,NCT02735707,0,Vitamin C,Comparator,intervention_33,standard_inter_21
22,34,NCT02735707,0,Therapeutic anticoagulation,Comparator,intervention_35,standard_inter_22
23,36,NCT02735707,C0074554,Simvastatin,Comparator,intervention_37,standard_inter_23
24,38,NCT02735707,0,Convalescent plasma,Comparator,intervention_39,standard_inter_24
25,40,NCT02735707,C0679199,Strategy,Comparator,intervention_41,standard_inter_25
26,41,NCT02735707,C1743645,Eritoran,Comparator,intervention_42,standard_inter_26
27,42,NCT02735707,C1678805,Apremilast,Comparator,intervention_43,standard_inter_27
28,44,NCT02735707,C0004057,Aspirin,Comparator,intervention_45,standard_inter_28
29,45,NCT02735707,C0070166,Clopidogrel,Comparator,intervention_46,standard_inter_29
30,46,NCT02735707,C1620287,Prasugrel,Comparator,intervention_47,standard_inter_30
31,47,NCT02735707,C1999375,Ticagrelor,Comparator,intervention_48,standard_inter_31
32,49,NCT02788903,0,Weight Counseling,Comparator,intervention_50,standard_inter_33
33,50,NCT02788903,C0162648,Telemedicine,Comparator,intervention_51,standard_inter_34
34,51,NCT02788903,0,Weight Counseling,Comparator,intervention_52,standard_inter_33
35,52,NCT02788903,C0162648,Telemedicine,Comparator,intervention_53,standard_inter_34
36,54,NCT03042143,C0032042,Placebo,Comparator,intervention_55,standard_inter_4
37,58,NCT03188796,C0032042,Placebo,Comparator,intervention_59,standard_inter_4
38,65,NCT03262051,0,CYP phenotyping,Comparator,intervention_66,standard_inter_38
39,66,NCT03262051,0,CYP phenotyping,Comparator,intervention_67,standard_inter_38
40,67,NCT03262051,0,CYP phenotyping,Comparator,intervention_68,standard_inter_38
41,73,NCT03376854,C2936643,Standard of Care,Comparator,intervention_74,standard_inter_43
42,74,NCT03452774,0,Clinical Trial Matching,Comparator,intervention_75,standard_inter_44
43,77,NCT03680274,0,Control,Comparator,intervention_78,standard_inter_46
44,78,NCT03708718,C0989226,Prednisolone 5 mg,Comparator,intervention_79,standard_inter_47
45,79,NCT03708718,C0032042,Placebo,Comparator,intervention_80,standard_inter_4
46,81,NCT03808922,C0032042,Placebo,Comparator,intervention_82,standard_inter_4
47,85,NCT03808922,C0032042,Placebo,Comparator,intervention_86,standard_inter_4
48,86,NCT03852537,0,Usual Care,Comparator,intervention_87,standard_inter_49
49,89,NCT03871491,C0032042,Placebo,Comparator,intervention_90,standard_inter_4
50,91,NCT03891420,C0032042,Placebo,Comparator,intervention_92,standard_inter_4
51,94,NCT03907891,0,Attention control,Comparator,intervention_95,standard_inter_55
52,99,NCT03963622,C2936643,Standard of Care,Comparator,intervention_100,standard_inter_43
53,106,NCT04052607,0,LH Suppression,Comparator,intervention_107,standard_inter_61
54,107,NCT04061382,0,Venepuncture,Comparator,intervention_108,standard_inter_62
55,108,NCT04061382,0,Oral fluid swab,Comparator,intervention_109,standard_inter_63
56,109,NCT04061382,0,Venepuncture,Comparator,intervention_110,standard_inter_62
57,110,NCT04061382,0,Oral fluid swab,Comparator,intervention_111,standard_inter_63
58,111,NCT04061382,0,Venepuncture,Comparator,intervention_112,standard_inter_62
59,112,NCT04061382,0,Oral fluid swab,Comparator,intervention_113,standard_inter_63
