indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
1,NCT04452435,Change From Baseline in C-reactive Protein (CRP) After Treatment With C21 200 mg Daily Dose (100 mg b.i.d.),O1:45|O2:46,O1:0.19|O2:0.22,C21 Treatment|Placebo Treatment,C-reactive Protein (CRP),CRP,indicator_1,outcome_1,"['C-reactive Protein (CRP)', 'C-reactive Protein']",Time Frame: Day 1 through Day 29 
2,NCT04452435,Change From Baseline in Body Temperature,O1:51|O2:54,O1:-0.11|O2:-0.34,C21 Treatment|Placebo Treatment,Body Temperature ,Body Temperature ,indicator_2,outcome_2,['Body Temperature'],Time Frame: Baseline 
3,NCT04452435,Change From Baseline in IL-6,O1:31|O2:34,O1:0.73|O2:0.73,C21 Treatment|Placebo Treatment,IL-6 ,IL-6 ,indicator_3,outcome_3,['IL-6'],"Time Frame: Study period, up to two months from the day the first participant was screened "
4,NCT04452435,Change From Baseline in IL-10,O1:37|O2:39,O1:0.66|O2:0.73,C21 Treatment|Placebo Treatment,IL-10 ,IL-10 ,indicator_4,outcome_4,['IL-10'],"Time Frame: Study period, up to two months from the day the first participant was screened "
5,NCT04452435,Change From Baseline in TNF,O1:46|O2:46,O1:0.91|O2:1.01,C21 Treatment|Placebo Treatment,TNF,TNF,indicator_5,outcome_5,['TNF'],"Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days "
6,NCT04452435,Change From Baseline in CA125,O1:46|O2:48,O1:1.16|O2:1.17,C21 Treatment|Placebo Treatment,CA125,CA125,indicator_6,outcome_6,['CA125'],Time Frame: Baseline 
7,NCT04452435,Change From Baseline in Ferritin,O1:46|O2:47,O1:0.75|O2:0.74,C21 Treatment|Placebo Treatment,Ferritin ,Ferritin ,indicator_7,outcome_7,['Ferritin'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
8,NCT04452435,Number of Subjects Not in Need of Oxygen Supply,O1:51|O2:55,O1:37|O2:30,C21 Treatment|Placebo Treatment,Need of Oxygen Supply ,Oxygen,indicator_8,outcome_8,"['Oxygen', 'Need of Oxygen Supply']",Time Frame: Up to 28 days 
9,NCT04452435,Number of Subjects Not in Need of Mechanical Invasive or Non-invasive Ventilation,O1:51|O2:55,O1:50|O2:53,C21 Treatment|Placebo Treatment,Need of Mechanical Invasive or Non-invasive Ventilation ,Mechanical Ventilation,indicator_9,outcome_9,['Need of Mechanical Invasive or Non-invasive Ventilation'],Time Frame: Up to 28 days 
10,NCT04452435,Time to Need of Mechanical Invasive or Non-invasive Ventilation,O1:1|O2:2,O1:60.0|O2:77.925,C21 Treatment|Placebo Treatment,Time to Need of Mechanical Invasive or Non-invasive Ventilation ,Mechanical Ventilation,indicator_9,outcome_10,"['Time to Need of Mechanical Invasive or Non-invasive Ventilation', 'Need of Mechanical Invasive or Non-invasive Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days "
