nctid,enrollment_id
NCT04372602,enrollment_29
NCT04902157,enrollment_61
NCT04364698,enrollment_501
NCT04482621,enrollment_41
NCT04459637,enrollment_21201
NCT04425538,enrollment_18
NCT04547257,enrollment_43
NCT04454307,enrollment_101
NCT04452435,enrollment_207
NCT04333550,enrollment_51
NCT04432987,enrollment_61
NCT04537559,enrollment_40001
NCT04628143,enrollment_101
NCT04336904,enrollment_101
NCT04568031,enrollment_257
NCT04869228,enrollment_725
NCT04445272,enrollment_496
NCT04354831,enrollment_132
NCT04582266,enrollment_41
NCT04351802,enrollment_181
NCT04359095,enrollment_1201
NCT04540393,enrollment_101
NCT04723394,enrollment_1701
NCT04345445,enrollment_311
NCT04883138,enrollment_19
NCT04508712,enrollment_901
NCT04361422,enrollment_301
NCT04460547,enrollment_2201
NCT04355741,enrollment_116
NCT04388683,enrollment_43
NCT04625972,enrollment_1122
NCT04377763,enrollment_501
NCT04578158,enrollment_153
NCT04421534,enrollment_151
NCT04501796,enrollment_31
NCT04428801,enrollment_201
NCT04628039,enrollment_507
NCT04932941,enrollment_121
NCT04466644,enrollment_341
NCT04431908,enrollment_1321
NCT04343183,enrollment_49
NCT04347915,enrollment_61
NCT04625725,enrollment_5199
NCT04333407,enrollment_3171
NCT04331509,enrollment_10000001
NCT04470622,enrollment_101
NCT04610554,enrollment_75
NCT04523090,enrollment_441
NCT04452669,enrollment_21
NCT04406389,enrollment_187
NCT04889040,enrollment_1387
NCT04742569,enrollment_2353
NCT04291053,enrollment_551
NCT04342637,enrollment_164
NCT04854928,enrollment_61
NCT04412486,enrollment_101
NCT04842435,enrollment_377
NCT04780672,enrollment_331
NCT04336462,enrollment_101
NCT04552366,enrollment_150
NCT04747769,enrollment_51
NCT04534673,enrollment_41
NCT04393038,enrollment_510
NCT04770467,enrollment_1
NCT04404179,enrollment_70
NCT04490174,enrollment_2501
NCT04757857,enrollment_1001
NCT04474483,enrollment_31
NCT04928430,enrollment_723
NCT04716426,enrollment_101
NCT04342689,enrollment_1501
NCT04389658,enrollment_1527
NCT04479358,enrollment_333
NCT04853069,enrollment_2001
NCT04363346,enrollment_6
NCT04369820,enrollment_101
NCT04401423,enrollment_23
NCT04470557,enrollment_101
NCT04666116,enrollment_97
NCT04514302,enrollment_52
NCT04558372,enrollment_2000
NCT04392141,enrollment_121
NCT04418284,enrollment_1518
NCT04449718,enrollment_241
NCT04587323,enrollment_101
NCT04324489,enrollment_5
NCT04889313,enrollment_51
NCT04370262,enrollment_234
NCT04347993,enrollment_5001
NCT04978233,enrollment_51
NCT04472572,enrollment_0
NCT04549831,enrollment_2001
NCT04497324,enrollment_101
NCT04386759,enrollment_6001
NCT04590586,enrollment_517
NCT04420468,enrollment_31
NCT04323228,enrollment_41
NCT04834752,enrollment_400001
NCT04708236,enrollment_1
NCT04376788,enrollment_16
NCT04960202,enrollment_2261
NCT04366882,enrollment_46
NCT04664010,enrollment_61
NCT04335123,enrollment_35
NCT04474496,enrollment_121
NCT04360356,enrollment_101
NCT04733833,enrollment_31
NCT04434248,enrollment_331
NCT04619706,enrollment_351
NCT04350593,enrollment_1251
NCT04372979,enrollment_81
NCT04456413,enrollment_307
NCT04464395,enrollment_31
NCT04467151,enrollment_1
NCT04343755,enrollment_53
NCT04784754,enrollment_51
NCT04321421,enrollment_50
NCT04685603,enrollment_28
NCT04880109,enrollment_81
NCT04784897,enrollment_121
NCT04425629,enrollment_6421
NCT04880694,enrollment_26
NCT04810117,enrollment_301
NCT04527133,enrollment_31
NCT04659187,enrollment_4001
NCT04928495,enrollment_220
NCT04544605,enrollment_151
NCT04668235,enrollment_343
NCT04646109,enrollment_67
NCT04445233,enrollment_316
NCT04329611,enrollment_149
NCT04621071,enrollment_85
NCT04325633,enrollment_31
NCT04387929,enrollment_6001
NCT04808882,enrollment_354
NCT04682912,enrollment_2001
NCT04546841,enrollment_37
NCT04306497,enrollment_341
NCT04415086,enrollment_121
NCT04321993,enrollment_801
NCT04808284,enrollment_61
NCT04364022,enrollment_327
NCT04619628,enrollment_49
NCT04351659,enrollment_9
NCT04382066,enrollment_47
NCT04550338,enrollment_1
NCT04323332,enrollment_51
NCT04869592,enrollment_3581
NCT04412252,enrollment_1
NCT04715295,enrollment_201
NCT04352348,enrollment_2004
NCT04390178,enrollment_11
NCT04528368,enrollment_61
NCT04405102,enrollment_49
NCT04339660,enrollment_31
NCT04465695,enrollment_82
NCT04527081,enrollment_31
NCT04454372,enrollment_188
NCT04463472,enrollment_31
NCT04333420,enrollment_391
NCT04444310,enrollment_101
NCT04724395,enrollment_801
NCT04887142,enrollment_1020
NCT04813562,enrollment_481
NCT04375202,enrollment_309
NCT04765475,enrollment_601
NCT04287686,enrollment_1
NCT04354857,enrollment_455
NCT04382092,enrollment_33
NCT04824391,enrollment_251
NCT04464408,enrollment_577
NCT04361916,enrollment_38
NCT04375046,enrollment_25
NCT04385108,enrollment_401
NCT04910191,enrollment_201
NCT04370808,enrollment_518
NCT04352582,enrollment_1195
NCT04344145,enrollment_694
NCT04343768,enrollment_61
NCT04495101,enrollment_101
NCT04355338,enrollment_4101
NCT04832061,enrollment_2301
NCT04381052,enrollment_31
NCT04952727,enrollment_301
NCT04410354,enrollment_45
NCT04354389,enrollment_1
NCT04480632,enrollment_45
NCT04344015,enrollment_207
NCT04655625,enrollment_501
NCT04718467,enrollment_1
NCT04681053,enrollment_81
NCT04324996,enrollment_91
NCT04640402,enrollment_961
NCT04732858,enrollment_51
NCT04433013,enrollment_301
NCT04426695,enrollment_6901
NCT04391712,enrollment_11
NCT04595773,enrollment_91
NCT04932850,enrollment_31
NCT04973449,enrollment_2476
NCT04432298,enrollment_23
NCT04504032,enrollment_498
NCT04564287,enrollment_101
NCT04443270,enrollment_201
NCT04385043,enrollment_401
NCT04873414,enrollment_365
NCT04432324,enrollment_101
NCT04384497,enrollment_51
NCT04359615,enrollment_41
NCT04542694,enrollment_201
NCT04397822,enrollment_111
NCT04492475,enrollment_970
NCT04901676,enrollment_595
NCT04582344,enrollment_13001
NCT04359316,enrollment_41
NCT04547140,enrollment_101
NCT04401579,enrollment_1034
NCT04280705,enrollment_1063
NCT04894435,enrollment_1201
NCT04348071,enrollment_1
NCT04583969,enrollment_401
NCT04340232,enrollment_1
NCT04428008,enrollment_241
NCT04852835,enrollment_801
