Rank,nctid,age,age_id
4430,NCT04413968,"1 Month and older  (Child, Adult, Older Adult)",age_1
5937,NCT04564274,"1 Month and older  (Child, Adult, Older Adult)",age_1
3105,NCT04493268,"1 Month to 100 Years  (Child, Adult, Older Adult)",age_2
3698,NCT04502667,1 Month to 17 Years  (Child),age_3
5872,NCT04462848,1 Month to 17 Years  (Child),age_3
136,NCT04682912,"1 Month to 18 Years  (Child, Adult)",age_4
1689,NCT04920760,"1 Month to 18 Years  (Child, Adult)",age_4
3479,NCT04377672,"1 Month to 18 Years  (Child, Adult)",age_4
3987,NCT04511429,"1 Month to 18 Years  (Child, Adult)",age_4
5010,NCT04736680,"1 Month to 18 Years  (Child, Adult)",age_4
6142,NCT04583865,"1 Month to 18 Years  (Child, Adult)",age_4
2712,NCT04433871,"1 Month to 30 Years  (Child, Adult)",age_4
1653,NCT04701996,"1 Month to 99 Years  (Child, Adult, Older Adult)",age_5
28,NCT04460547,"1 Year and older  (Child, Adult, Older Adult)",age_6
130,NCT04445233,"1 Year and older  (Child, Adult, Older Adult)",age_6
158,NCT04454372,"1 Year and older  (Child, Adult, Older Adult)",age_6
2612,NCT04384471,"1 Year and older  (Child, Adult, Older Adult)",age_6
3037,NCT04750629,"1 Year and older  (Child, Adult, Older Adult)",age_6
3336,NCT04699903,"1 Year and older  (Child, Adult, Older Adult)",age_6
3850,NCT04405726,"1 Year and older  (Child, Adult, Older Adult)",age_6
4317,NCT04360707,"1 Year and older  (Child, Adult, Older Adult)",age_6
4406,NCT04399252,"1 Year and older  (Child, Adult, Older Adult)",age_6
4735,NCT04393142,"1 Year and older  (Child, Adult, Older Adult)",age_6
5070,NCT04429477,"1 Year and older  (Child, Adult, Older Adult)",age_6
5309,NCT04776174,1 Year to 10 Years  (Child),age_7
1326,NCT04911868,"1 Year to 100 Years  (Child, Adult, Older Adult)",age_8
1871,NCT04519034,"1 Year to 100 Years  (Child, Adult, Older Adult)",age_8
2143,NCT04347278,"1 Year to 100 Years  (Child, Adult, Older Adult)",age_8
3664,NCT04844242,1 Year to 15 Years  (Child),age_9
5755,NCT04969601,1 Year to 15 Years  (Child),age_9
4820,NCT04646525,1 Year to 16 Years  (Child),age_10
2362,NCT04536285,"1 Year to 18 Years  (Child, Adult)",age_11
2423,NCT04598256,"1 Year to 18 Years  (Child, Adult)",age_11
3688,NCT04699097,"1 Year to 18 Years  (Child, Adult)",age_11
