nctid,studytype_id,Study_Type,
NCT04372602,studytype_8,Interventional,
NCT04902157,studytype_9,Observational,
NCT04364698,studytype_9,Observational,
NCT04482621,studytype_8,Interventional,
NCT04459637,studytype_9,Observational,
NCT04425538,studytype_8,Interventional,
NCT04547257,studytype_8,Interventional,
NCT04454307,studytype_8,Interventional,
NCT04452435,studytype_8,Interventional,
NCT04333550,studytype_8,Interventional,
NCT04432987,studytype_8,Interventional,
NCT04537559,studytype_9,Observational,
NCT04628143,studytype_8,Interventional,
NCT04336904,studytype_8,Interventional,
NCT04568031,studytype_8,Interventional,
NCT04869228,studytype_8,Interventional,
NCT04445272,studytype_8,Interventional,
NCT04354831,studytype_8,Interventional,
NCT04582266,studytype_9,Observational,
NCT04351802,studytype_9,Observational,
NCT04359095,studytype_8,Interventional,
NCT04540393,studytype_8,Interventional,
NCT04723394,studytype_8,Interventional,
NCT04345445,studytype_8,Interventional,
NCT04883138,studytype_8,Interventional,
NCT04508712,studytype_9,Observational,
NCT04361422,studytype_8,Interventional,
NCT04460547,studytype_9,Observational,
NCT04355741,studytype_9,Observational,
NCT04388683,studytype_8,Interventional,
NCT04625972,studytype_8,Interventional,
NCT04377763,studytype_9,Observational,
NCT04578158,studytype_8,Interventional,
NCT04421534,studytype_8,Interventional,
NCT04501796,studytype_8,Interventional,
NCT04428801,studytype_8,Interventional,
NCT04628039,studytype_8,Interventional,
NCT04932941,studytype_8,Interventional,
NCT04466644,studytype_9,Observational,
NCT04431908,studytype_9,Observational,
NCT04343183,studytype_8,Interventional,
NCT04347915,studytype_8,Interventional,
NCT04625725,studytype_8,Interventional,
NCT04333407,studytype_8,Interventional,
NCT04331509,studytype_9,Observational,
NCT04470622,studytype_8,Interventional,
NCT04610554,studytype_9,Observational,
NCT04523090,studytype_8,Interventional,
NCT04452669,studytype_8,Interventional,
NCT04406389,studytype_8,Interventional,
NCT04889040,studytype_8,Interventional,
NCT04742569,studytype_9,Observational,
NCT04291053,studytype_8,Interventional,
NCT04342637,studytype_9,Observational,
NCT04854928,studytype_8,Interventional,
NCT04412486,studytype_8,Interventional,
NCT04842435,studytype_8,Interventional,
NCT04780672,studytype_8,Interventional,
NCT04336462,studytype_8,Interventional,
NCT04552366,studytype_8,Interventional,
NCT04747769,studytype_9,Observational,
NCT04534673,studytype_8,Interventional,
NCT04393038,studytype_8,Interventional,
NCT04770467,studytype_8,Interventional,
NCT04404179,studytype_9,Observational,
NCT04490174,studytype_9,Observational,
NCT04757857,studytype_8,Interventional,
NCT04474483,studytype_8,Interventional,
NCT04928430,studytype_8,Interventional,
NCT04716426,studytype_8,Interventional,
NCT04342689,studytype_8,Interventional,
NCT04389658,studytype_9,Observational,
NCT04479358,studytype_8,Interventional,
NCT04853069,studytype_8,Interventional,
NCT04363346,studytype_8,Interventional,
NCT04369820,studytype_8,Interventional,
NCT04401423,studytype_8,Interventional,
NCT04470557,studytype_9,Observational,
NCT04666116,studytype_8,Interventional,
NCT04514302,studytype_8,Interventional,
NCT04558372,studytype_8,Interventional,
NCT04392141,studytype_8,Interventional,
NCT04418284,studytype_9,Observational,
NCT04449718,studytype_8,Interventional,
NCT04587323,studytype_9,Observational,
NCT04324489,studytype_8,Interventional,
NCT04889313,studytype_9,Observational,
NCT04370262,studytype_8,Interventional,
NCT04347993,studytype_9,Observational,
NCT04978233,studytype_9,Observational,
NCT04472572,studytype_7,Expanded Access:Treatment IND/Protocol,
NCT04549831,studytype_9,Observational,
NCT04497324,studytype_8,Interventional,
NCT04386759,studytype_9,Observational,
NCT04590586,studytype_8,Interventional,
NCT04420468,studytype_9,Observational,
NCT04323228,studytype_8,Interventional,
NCT04834752,studytype_9,Observational,
NCT04708236,studytype_8,Interventional,
NCT04376788,studytype_8,Interventional,
NCT04960202,studytype_8,Interventional,
NCT04366882,studytype_8,Interventional,
NCT04664010,studytype_8,Interventional,
NCT04335123,studytype_8,Interventional,
NCT04474496,studytype_9,Observational,
NCT04360356,studytype_8,Interventional,
NCT04733833,studytype_8,Interventional,
NCT04434248,studytype_8,Interventional,
NCT04619706,studytype_8,Interventional,
NCT04350593,studytype_8,Interventional,
NCT04372979,studytype_8,Interventional,
NCT04456413,studytype_8,Interventional,
NCT04464395,studytype_8,Interventional,
NCT04467151,studytype_8,Interventional,
NCT04343755,studytype_8,Interventional,
NCT04784754,studytype_8,Interventional,
NCT04321421,studytype_8,Interventional,
NCT04685603,studytype_8,Interventional,
NCT04880109,studytype_8,Interventional,
NCT04784897,studytype_8,Interventional,
NCT04425629,studytype_8,Interventional,
NCT04880694,studytype_8,Interventional,
NCT04810117,studytype_9,Observational,
NCT04527133,studytype_8,Interventional,
NCT04659187,studytype_9,Observational,
NCT04928495,studytype_8,Interventional,
NCT04544605,studytype_9,Observational,
NCT04668235,studytype_8,Interventional,
NCT04646109,studytype_8,Interventional,
NCT04445233,studytype_9,Observational,
NCT04329611,studytype_8,Interventional,
NCT04621071,studytype_8,Interventional,
NCT04325633,studytype_8,Interventional,
NCT04387929,studytype_9,Observational,
NCT04808882,studytype_8,Interventional,
NCT04682912,studytype_9,Observational,
NCT04546841,studytype_8,Interventional,
NCT04306497,studytype_9,Observational,
NCT04415086,studytype_8,Interventional,
NCT04321993,studytype_8,Interventional,
NCT04808284,studytype_8,Interventional,
NCT04364022,studytype_8,Interventional,
NCT04619628,studytype_8,Interventional,
NCT04351659,studytype_9,Observational,
NCT04382066,studytype_8,Interventional,
NCT04550338,studytype_8,Interventional,
NCT04323332,studytype_8,Interventional,
NCT04869592,studytype_8,Interventional,
NCT04412252,studytype_8,Interventional,
NCT04715295,studytype_8,Interventional,
NCT04352348,studytype_8,Interventional,
NCT04390178,studytype_8,Interventional,
NCT04528368,studytype_8,Interventional,
NCT04405102,studytype_8,Interventional,
NCT04339660,studytype_8,Interventional,
NCT04465695,studytype_8,Interventional,
NCT04527081,studytype_8,Interventional,
NCT04454372,studytype_9,Observational,
