index,nctid,completiondate,completiondate_id
1,NCT04452435,13-Oct-20,completiondate_1
2,NCT04431908,18-Nov-20,completiondate_2
3,NCT04716426,25-Mar-21,completiondate_3
4,NCT04392141,1-Nov-20,completiondate_4
5,NCT04474496,30-Nov-20,completiondate_5
6,NCT04646109,2-Sep-20,completiondate_6
7,NCT04542694,20-Aug-20,completiondate_7
8,NCT04401579,31-Jul-20,completiondate_8
9,NCT04280705,21-May-20,completiondate_9
10,NCT04332081,29-May-20,completiondate_10
11,NCT04329923,13-Nov-20,completiondate_11
12,NCT04410159,6-Jul-20,completiondate_12
13,NCT04335136,26-Dec-20,completiondate_13
14,NCT04331366,31-Aug-20,completiondate_14
15,NCT04331899,6-May-21,completiondate_15
16,NCT04292899,30-Jun-20,completiondate_16
17,NCT04292730,26-Jun-20,completiondate_17
18,NCT04320615,28-Jul-20,completiondate_18
19,NCT04401202,31-Dec-20,completiondate_19
20,NCT04435808,15-Jul-20,completiondate_20
21,NCT04338074,21-Apr-21,completiondate_21
22,NCT04358068,8-Jul-20,completiondate_22
23,NCT04358081,27-Jul-20,completiondate_23
24,NCT04523831,10-Sep-20,completiondate_24
25,NCT04599959,20-Jan-21,completiondate_25
26,NCT04343092,1-Jun-20,completiondate_26
27,NCT04362137,17-Oct-20,completiondate_27
28,NCT04724538,15-Mar-21,completiondate_28
29,NCT04674644,23-Oct-20,completiondate_29
30,NCT04345653,10-May-21,completiondate_30
31,NCT04338009,20-Aug-20,completiondate_7
32,NCT04342663,12-Dec-20,completiondate_31
33,NCT04425850,10-Aug-20,completiondate_32
34,NCT04411667,23-Jun-20,completiondate_33
35,NCT04698993,22-Mar-21,completiondate_34
36,NCT04502056,6-Sep-20,completiondate_35
37,NCT04491994,31-May-20,completiondate_36
38,NCT04728802,15-Apr-21,completiondate_37
39,NCT04422561,27-Jul-20,completiondate_23
40,NCT04356937,27-Aug-20,completiondate_38
41,NCT04407507,29-Jan-21,completiondate_39
42,NCT04390022,9-Oct-20,completiondate_40
43,NCT04409886,31-Jan-21,completiondate_41
44,NCT04399980,23-Apr-21,completiondate_42
45,NCT04365153,1-Apr-21,completiondate_43
46,NCT04491240,20-Oct-20,completiondate_44
47,NCT04335552,26-Jun-20,completiondate_17
48,NCT04898166,31-Mar-21,completiondate_45
49,NCT04475588,7-Jul-20,completiondate_46
50,NCT04343261,13-Aug-20,completiondate_47
51,NCT04446429,21-Jan-21,completiondate_48
52,NCT04332991,23-Jul-20,completiondate_49
53,NCT04385238,20-Jun-20,completiondate_50
54,NCT04370834,14-Jan-21,completiondate_51
55,NCT04323592,10-May-20,completiondate_52
56,NCT04371419,26-May-20,completiondate_53
57,NCT04402970,31-Dec-20,completiondate_19
58,NCT04328467,13-Jul-20,completiondate_54
59,NCT04728594,20-Jan-21,completiondate_25
60,NCT04425863,30-Aug-20,completiondate_55
61,NCT04542226,30-Oct-20,completiondate_56
62,NCT04490239,18-Nov-20,completiondate_2
63,NCT04327388,2-Sep-20,completiondate_6
64,NCT04322396,2-Feb-21,completiondate_57
65,NCT04308668,20-May-20,completiondate_58
66,NCT04340557,13-Jun-20,completiondate_59
67,NCT04392219,11-Aug-20,completiondate_60
68,NCT04634903,15-Mar-21,completiondate_28
69,NCT04160975,19-Feb-21,completiondate_61
70,NCT04406194,19-Jun-20,completiondate_62
71,NCT04400682,18-Jun-20,completiondate_63
